127.0.0.1 - - [09/Sep/2017:08:17:34 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:17:34 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:20:07 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:20:55 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:21:11 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:21:12 -0400] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:21:36 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:26:41 -0400] "GET /JShomework/homework.html HTTP/1.1" 200 3264
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:26:41 -0400] "GET /JShomework/js/homework.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:27:29 -0400] "GET /JShomework/homework.html HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:34:52 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:35:07 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4209
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:37:11 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4214
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:37:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4214
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:39:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:39:28 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:41:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:41:18 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:42:08 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:42:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 4238
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:58:26 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [09/Sep/2017:08:58:33 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 6993
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:00:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 6986
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:00:21 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 6986
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:02:53 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:02:57 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:20:07 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:20:11 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:23:27 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:23:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7132
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:26:02 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:26:07 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:34:54 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7150
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:35:03 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7150
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:37:06 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:37:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:42:18 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:42:22 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:42:26 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:42:57 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:43:02 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:43:21 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:46:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:46:40 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:47:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:49:00 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7143
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:50:05 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7142
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:50:11 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7142
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:51:30 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:51:34 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7131
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:52:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:52:27 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:56:08 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:56:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7181
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:56:38 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [09/Sep/2017:09:56:43 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:05:42 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:05:52 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:08:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:08:36 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:12:01 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7259
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:12:05 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7259
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:13:34 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:13:38 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:14:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:14:34 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:15:30 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7286
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:15:34 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7286
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:16:58 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:17:03 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7287
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:17:45 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:17:49 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7290
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:19:23 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7274
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:19:28 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7274
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:21:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:21:16 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7269
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:24:15 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:24:19 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7310
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:25:27 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:25:30 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:25:52 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:25:56 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7325
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:28:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:28:37 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:29:58 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7050
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:30:02 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7050
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:30:39 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:30:47 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:32:41 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:32:45 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:33:24 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:33:27 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7072
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:35:29 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7078
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:35:33 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7078
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:35:59 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:36:03 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7081
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:43:09 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:43:15 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7039
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:53:48 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7211
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:53:54 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7211
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:57:31 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [09/Sep/2017:10:57:35 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:15:28 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:15:33 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7357
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:20:08 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:20:21 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:23:56 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:24:03 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7376
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:25:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7424
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:25:21 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7424
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:28:56 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:29:01 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7444
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:33:58 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:34:05 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:38:18 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:38:24 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:51:13 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:51:19 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:57:41 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:57:46 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:58:30 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7420
0:0:0:0:0:0:0:1 - - [09/Sep/2017:11:58:35 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7420
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:02:27 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:04:47 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:04:54 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:06:18 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:09:22 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:09:28 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:10:23 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:10:30 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:14:11 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7520
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:14:16 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7520
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:19:50 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:19:59 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:21:38 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:21:44 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:22:24 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7735
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:22:30 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7735
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:23:26 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7735
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:23:33 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7735
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:24:05 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:24:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:58:14 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7739
0:0:0:0:0:0:0:1 - - [09/Sep/2017:12:58:21 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7739
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:01:12 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7741
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:01:17 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7741
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:03:39 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7744
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:03:45 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7744
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:05:49 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:05:54 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7733
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:06:38 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7732
0:0:0:0:0:0:0:1 - - [09/Sep/2017:13:06:44 -0400] "GET /JShomework/indexJQuery.html HTTP/1.1" 200 7732
